Most common words,B1 relative frequency,B2 relative frequency,Differences in relative frequency
air,3.795930762222897e-05,0.0005818807397475143,0.0005439214321252854
near,0.00018979653811114486,0.0007336757153338225,0.0005438791772226777
young,0.0003036744609778318,0.0008475219470235535,0.0005438474860457218
different,0.0003036744609778318,0.0008475219470235535,0.0005438474860457218
ever,0.001290616459155785,0.0007589748779315404,0.0005316415812242446
haneh,0.0,0.0005312824145520783,0.0005312824145520783
turkey,0.0,0.0005312824145520783,0.0005312824145520783
looked,7.591861524445795e-05,0.0006071799023452324,0.0005312612871007745
since,0.00011387792286668691,0.0006451286462418094,0.0005312507233751225
ramazan,0.0,0.0005186328332532193,0.0005186328332532193
bridge,0.0,0.0005186328332532193,0.0005186328332532193
period,0.0,0.0005186328332532193,0.0005186328332532193
room,0.00022775584573337383,0.0007463252966326815,0.0005185694508993077
way,0.001252657151533556,0.001770941381840261,0.0005182842303067051
art,0.0010628606134224113,0.0005565815771497964,0.0005062790362726149
conqueror,0.0,0.0005059832519543603,0.0005059832519543603
patriarch,0.0,0.0005059832519543603,0.0005059832519543603
saw,0.00022775584573337383,0.0007336757153338225,0.0005059198696004487
interesting,0.0003036744609778318,0.0008095732031269765,0.0005058987421491447
coming,0.0006832675372001215,0.0001897437194828851,0.0004935238177172364
bey,0.0,0.0004933336706555013,0.0004933336706555013
grand,0.00011387792286668691,0.0006071799023452324,0.0004933019794785455
country,0.0004175523838445187,0.0009107698535178486,0.00049321746967333
years,0.0008730640753112663,0.0013661547802767727,0.0004930907049655064
first,0.002884907379289402,0.0024034204467832114,0.0004814869325061905
ceremony,0.0,0.0004806840893566423,0.0004806840893566423
ladies,0.0,0.0004806840893566423,0.0004806840893566423
characteristic,0.0,0.0004806840893566423,0.0004806840893566423
sultans,0.0,0.0004806840893566423,0.0004806840893566423
persian,0.0,0.0004806840893566423,0.0004806840893566423
mohammedan,0.0,0.0004806840893566423,0.0004806840893566423
tomb,3.795930762222897e-05,0.0005186328332532193,0.0004806735256309904
constantine,3.795930762222897e-05,0.0005186328332532193,0.0004806735256309904
right,0.0011387792286668692,0.0006704278088395274,0.0004683514198273418
simple,0.0008730640753112663,0.00040478660156348823,0.0004682774737477781
states,0.0007591861524445794,0.00029094036987375717,0.00046824578257082227
wooden,0.0,0.0004680345080577833,0.0004680345080577833
ali,0.0,0.0004680345080577833,0.0004680345080577833
merely,3.795930762222897e-05,0.0005059832519543603,0.0004680239443321313
cut,3.795930762222897e-05,0.0005059832519543603,0.0004680239443321313
across,3.795930762222897e-05,0.0005059832519543603,0.0004680239443321313
rather,0.0002657151533556028,0.0007336757153338225,0.00046796056197821967
could,0.0014804129972669298,0.0019480355200242872,0.00046762252275735737
top,0.001328575766778014,0.0008728211096212716,0.0004557546571567424
pass,0.0007971454600668084,0.0003415386950691932,0.0004556067649976152
license,0.0006832675372001215,0.00022769246337946215,0.0004555750738206594
agreement,0.0006832675372001215,0.00022769246337946215,0.0004555750738206594
selim,0.0,0.0004553849267589243,0.0004553849267589243
happened,0.0,0.0004553849267589243,0.0004553849267589243
embassy,0.0,0.0004553849267589243,0.0004553849267589243
venice,0.0,0.0004553849267589243,0.0004553849267589243
dark,0.00022775584573337383,0.0006830773901383864,0.00045532154440501257
night,0.0005314303067112056,0.0009866673413110026,0.0004552370345997969
morning,0.0010249013058001822,0.0005818807397475143,0.00044302056605266787
school,0.0007971454600668084,0.0003541882763680522,0.0004429571836987562
yeni,0.0,0.00044273534546006527,0.00044273534546006527
market,0.0,0.00044273534546006527,0.00044273534546006527
space,3.795930762222897e-05,0.0004806840893566423,0.00044272478173441334
beside,3.795930762222897e-05,0.0004806840893566423,0.00044272478173441334
passed,7.591861524445795e-05,0.0005186328332532193,0.0004427142180087614
far,0.0005314303067112056,0.0009740177600121436,0.00044258745330093795
marmora,0.0,0.0004300857641612063,0.0004300857641612063
yard,0.0,0.0004300857641612063,0.0004300857641612063
tall,0.0,0.0004300857641612063,0.0004300857641612063
islam,3.795930762222897e-05,0.0004680345080577833,0.0004300752004355543
door,3.795930762222897e-05,0.0004680345080577833,0.0004300752004355543
west,0.00011387792286668691,0.0005439319958509373,0.0004300540729842504
company,0.0001518372304889159,0.0005818807397475143,0.00043004350925859847
flowers,0.0001518372304889159,0.0005818807397475143,0.00043004350925859847
town,0.00022775584573337383,0.0006577782275406684,0.0004300223818072946
became,0.00022775584573337383,0.0006577782275406684,0.0004300223818072946
celebrated,0.0,0.00041743618286234726,0.00041743618286234726
kyöi,0.0,0.00041743618286234726,0.00041743618286234726
mourad,0.0,0.00041743618286234726,0.00041743618286234726
wood,3.795930762222897e-05,0.0004553849267589243,0.00041742561913669533
east,0.00011387792286668691,0.0005312824145520783,0.0004174044916853914
view,0.0001518372304889159,0.0005692311584486554,0.0004173939279597395
hill,0.00022775584573337383,0.0006451286462418094,0.00041737280050843564
followed,0.00022775584573337383,0.0006451286462418094,0.00041737280050843564
century,0.0002657151533556028,0.0006830773901383864,0.00041736223678278355
look,0.0012146978439113271,0.0008095732031269765,0.0004051246407843507
san,0.0,0.00040478660156348823,0.00040478660156348823
procession,0.0,0.00040478660156348823,0.00040478660156348823
armenian,0.0,0.00040478660156348823,0.00040478660156348823
hüsseïn,0.0,0.00040478660156348823,0.00040478660156348823
gone,3.795930762222897e-05,0.00044273534546006527,0.0004047760378378363
interior,3.795930762222897e-05,0.00044273534546006527,0.0004047760378378363
away,0.0009869419981779531,0.001391453942874491,0.00040451194469653777
fact,0.001328575766778014,0.0009360690161155665,0.0003925067506624474
means,0.0011008199210446401,0.0007083765527361044,0.0003924433683085357
united,0.0006073489219556636,0.00021504288208060315,0.00039230603987506043
twenty,0.0,0.00039213702026462925,0.00039213702026462925
decorative,0.0,0.00039213702026462925,0.00039213702026462925
heads,3.795930762222897e-05,0.0004300857641612063,0.0003921264565389773
supposed,7.591861524445795e-05,0.0004680345080577833,0.00039211589281332534
italian,7.591861524445795e-05,0.0004680345080577833,0.00039211589281332534
outside,0.0001518372304889159,0.0005439319958509373,0.00039209476536202143
whether,0.00034163376860006075,0.0007336757153338225,0.00039204194673376174
true,0.0012146978439113271,0.0008348723657246945,0.00037982547818663263
donations,0.0005693896143334346,0.0001897437194828851,0.0003796458948505495
architecture,0.0,0.0003794874389657702,0.0003794874389657702
effendi,0.0,0.0003794874389657702,0.0003794874389657702
square,0.0,0.0003794874389657702,0.0003794874389657702
