Most common words,Absolute frequency,Relative frequency
real,12.0,0.00045551169146674765
perhaps,12.0,0.00045551169146674765
meaning,12.0,0.00045551169146674765
sacred,12.0,0.00045551169146674765
mountain,12.0,0.00045551169146674765
prayed,12.0,0.00045551169146674765
talk,12.0,0.00045551169146674765
left,12.0,0.00045551169146674765
enter,12.0,0.00045551169146674765
throne,12.0,0.00045551169146674765
received,12.0,0.00045551169146674765
everything,12.0,0.00045551169146674765
history,12.0,0.00045551169146674765
speech,12.0,0.00045551169146674765
blessed,12.0,0.00045551169146674765
hath,12.0,0.00045551169146674765
struggle,12.0,0.00045551169146674765
state,12.0,0.00045551169146674765
thoughts,12.0,0.00045551169146674765
social,12.0,0.00045551169146674765
learn,12.0,0.00045551169146674765
problems,12.0,0.00045551169146674765
small,12.0,0.00045551169146674765
_for,12.0,0.00045551169146674765
gift,12.0,0.00045551169146674765
4,12.0,0.00045551169146674765
deal,12.0,0.00045551169146674765
mercury,12.0,0.00045551169146674765
leather,12.0,0.00045551169146674765
professor,12.0,0.00045551169146674765
barr,12.0,0.00045551169146674765
5s,12.0,0.00045551169146674765
horton,12.0,0.00045551169146674765
gladden,12.0,0.00045551169146674765
paragraph,12.0,0.00045551169146674765
country,11.0,0.0004175523838445187
language,11.0,0.0004175523838445187
printed,11.0,0.0004175523838445187
vi,11.0,0.0004175523838445187
certain,11.0,0.0004175523838445187
luke,11.0,0.0004175523838445187
called,11.0,0.0004175523838445187
sea,11.0,0.0004175523838445187
cover,11.0,0.0004175523838445187
point,11.0,0.0004175523838445187
happy,11.0,0.0004175523838445187
command,11.0,0.0004175523838445187
house,11.0,0.0004175523838445187
matter,11.0,0.0004175523838445187
knowledge,11.0,0.0004175523838445187
glorious,11.0,0.0004175523838445187
receive,11.0,0.0004175523838445187
experience,11.0,0.0004175523838445187
worship,11.0,0.0004175523838445187
universe,11.0,0.0004175523838445187
keep,11.0,0.0004175523838445187
gold,11.0,0.0004175523838445187
comfort,11.0,0.0004175523838445187
worth,11.0,0.0004175523838445187
black,11.0,0.0004175523838445187
return,11.0,0.0004175523838445187
notes,11.0,0.0004175523838445187
mercy,11.0,0.0004175523838445187
weakness,11.0,0.0004175523838445187
temptations,11.0,0.0004175523838445187
george,11.0,0.0004175523838445187
